@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
156,'2023/11/20 23:29:39:062',1,15.992691,1.47625,0,0
157,'2023/11/20 23:29:39:095',1,15.920352,1.262227,0,0
158,'2023/11/20 23:29:39:128',1,15.970193,1.460426,0,0
159,'2023/11/20 23:29:39:162',1,15.882546,1.247562,0,0
160,'2023/11/20 23:29:39:195',1,15.964459,1.434171,0,0
161,'2023/11/20 23:29:39:228',1,15.929205,1.261348,0,0
162,'2023/11/20 23:29:39:262',1,15.935329,1.481936,0,0
163,'2023/11/20 23:29:39:296',1,15.837127,1.267903,0,0
164,'2023/11/20 23:29:39:329',1,15.869724,1.408233,0,0
165,'2023/11/20 23:29:39:362',1,15.864098,1.279954,0,0
166,'2023/11/20 23:29:39:395',1,15.913772,1.399967,0,0
167,'2023/11/20 23:29:39:429',1,15.870737,1.298517,0,0
168,'2023/11/20 23:29:39:462',1,15.909681,1.338485,0,0
169,'2023/11/20 23:29:39:495',1,15.952231,1.30229,0,0
170,'2023/11/20 23:29:39:529',1,15.950441,1.364389,0,0
171,'2023/11/20 23:29:39:565',1,15.905632,1.316051,0,0
172,'2023/11/20 23:29:39:597',1,15.869724,1.350073,0,0
173,'2023/11/20 23:29:39:629',1,15.83764,1.352336,0,0
174,'2023/11/20 23:29:39:663',1,15.796213,1.352171,0,0
175,'2023/11/20 23:29:39:680',1,15.740912,1.351851,0,0
176,'2023/11/20 23:29:39:730',1,15.70997,1.352558,0,0
177,'2023/11/20 23:29:39:762',1,15.654639,1.341738,0,0
178,'2023/11/20 23:29:39:795',1,15.664238,1.349168,0,0
179,'2023/11/20 23:29:39:829',1,15.650387,1.357551,0,0
180,'2023/11/20 23:29:39:848',1,15.694181,1.363607,0,0
181,'2023/11/20 23:29:39:880',1,15.690435,1.366455,0,0
182,'2023/11/20 23:29:39:929',1,15.653812,1.362355,0,0
183,'2023/11/20 23:29:39:963',1,15.538102,1.356482,0,0
184,'2023/11/20 23:29:39:997',1,15.502088,1.36257,0,0.05
185,'2023/11/20 23:29:40:015',1,15.374591,1.352476,0,0.11
186,'2023/11/20 23:29:40:046',1,15.304817,1.351905,0,0.32
187,'2023/11/20 23:29:40:079',1,15.301565,1.351271,0,0.58
188,'2023/11/20 23:29:40:130',1,15.267409,1.347503,0,0.87
189,'2023/11/20 23:29:40:163',1,15.256173,1.347357,0,1
190,'2023/11/20 23:29:40:179',1,15.254767,1.348426,0,1
191,'2023/11/20 23:29:40:212',1,15.246373,1.348833,0,1
192,'2023/11/20 23:29:40:246',1,15.288181,1.359268,0,1
193,'2023/11/20 23:29:40:280',1,15.39234,1.370389,0,1
194,'2023/11/20 23:29:40:315',1,15.306175,1.354942,0,1
195,'2023/11/20 23:29:40:346',1,15.326923,1.351148,0,1
196,'2023/11/20 23:29:40:383',1,15.34502,1.360197,0,1
197,'2023/11/20 23:29:40:447',1,15.37841,1.37155,0,1
198,'2023/11/20 23:29:40:480',1,15.412636,1.369649,0,1
199,'2023/11/20 23:29:40:513',1,15.440917,1.37331,0,1
200,'2023/11/20 23:29:40:546',1,15.44835,1.375353,0,1
201,'2023/11/20 23:29:40:579',1,15.453011,1.365692,0,1
202,'2023/11/20 23:29:40:613',1,15.45437,1.362376,0,1
203,'2023/11/20 23:29:40:646',1,15.480879,1.37085,0,1
204,'2023/11/20 23:29:40:680',1,15.468289,1.36,0,1
205,'2023/11/20 23:29:40:714',1,15.456585,1.35254,0,1
206,'2023/11/20 23:29:40:746',1,15.448548,1.382544,0,1
207,'2023/11/20 23:29:40:782',1,15.354188,1.355056,0,1
208,'2023/11/20 23:29:40:815',1,15.335285,1.345933,0,1
209,'2023/11/20 23:29:40:847',1,15.365973,1.350713,0,1
210,'2023/11/20 23:29:40:883',1,15.337229,1.341444,0,1
211,'2023/11/20 23:29:40:915',1,15.336527,1.328776,0,1
212,'2023/11/20 23:29:40:948',1,15.328994,1.334446,0,1
213,'2023/11/20 23:29:40:981',1,15.260586,1.325628,0,1
214,'2023/11/20 23:29:40:998',1,15.419507,1.330155,0,1
215,'2023/11/20 23:29:41:047',1,15.429786,1.341196,0,1
216,'2023/11/20 23:29:41:081',1,15.525794,1.35322,0,1
217,'2023/11/20 23:29:41:114',1,15.591191,1.371523,0,1
218,'2023/11/20 23:29:41:146',1,15.649608,1.372281,0,1
219,'2023/11/20 23:29:41:179',1,15.648034,1.363095,0,1
220,'2023/11/20 23:29:41:213',1,15.64162,1.36259,0,1
221,'2023/11/20 23:29:41:230',1,15.571822,1.363642,0,1
222,'2023/11/20 23:29:41:280',1,15.529923,1.355843,0,1
223,'2023/11/20 23:29:41:314',1,15.472251,1.35193,0,1
224,'2023/11/20 23:29:41:347',1,15.308287,1.325707,0,1
225,'2023/11/20 23:29:41:381',1,15.250848,1.311195,0,1
226,'2023/11/20 23:29:41:397',1,15.218443,1.307479,0,1
227,'2023/11/20 23:29:41:432',1,15.092396,1.285782,0,1
228,'2023/11/20 23:29:41:481',1,14.977585,1.276701,0,1
229,'2023/11/20 23:29:41:514',1,14.919702,1.271963,0,1
230,'2023/11/20 23:29:41:549',1,14.84647,1.275482,0,1
231,'2023/11/20 23:29:41:563',1,14.879984,1.282008,0,1
232,'2023/11/20 23:29:41:598',1,14.890121,1.292704,0,1
233,'2023/11/20 23:29:41:631',1,14.922587,1.287947,0,1
234,'2023/11/20 23:29:41:664',1,14.977175,1.305038,0,1
235,'2023/11/20 23:29:43:585',2,12.971645,1.11677,0,1
236,'2023/11/20 23:29:43:617',2,12.965581,1.107158,0,1
237,'2023/11/20 23:29:43:650',2,12.966901,1.104492,0,1
238,'2023/11/20 23:29:43:683',2,12.932369,1.115386,0,1
239,'2023/11/20 23:29:43:715',2,12.913,1.11003,0,1
240,'2023/11/20 23:29:43:749',2,12.859677,1.098223,0,1
241,'2023/11/20 23:29:43:782',2,12.893558,1.103592,0,1
242,'2023/11/20 23:29:43:815',2,12.87512,1.113037,0,1
243,'2023/11/20 23:29:43:849',2,12.836135,1.101906,0,1
244,'2023/11/20 23:29:43:882',2,12.826574,1.110611,0,1
245,'2023/11/20 23:29:43:915',2,12.816491,1.095454,0,1
246,'2023/11/20 23:29:43:949',2,12.814998,1.109926,0,1
247,'2023/11/20 23:29:43:982',2,12.770897,1.0842,0,1
248,'2023/11/20 23:29:44:016',2,12.779246,1.114111,0,1
249,'2023/11/20 23:29:44:049',2,12.701826,1.085289,0,1
250,'2023/11/20 23:29:44:082',2,12.712511,1.104491,0,1
251,'2023/11/20 23:29:44:116',2,12.744302,1.084461,0,1
252,'2023/11/20 23:29:44:149',2,12.757705,1.103041,0,1
253,'2023/11/20 23:29:44:183',2,12.718596,1.077813,0,1
254,'2023/11/20 23:29:44:199',2,12.738532,1.101664,0,1
255,'2023/11/20 23:29:44:233',2,12.711789,1.072805,0,1
256,'2023/11/20 23:29:44:283',2,12.725151,1.110266,0,1
257,'2023/11/20 23:29:44:317',2,12.72228,1.0938,0,1
258,'2023/11/20 23:29:44:350',2,12.724489,1.095264,0,1
259,'2023/11/20 23:29:44:384',2,12.678599,1.085958,0,1
260,'2023/11/20 23:29:44:419',2,12.693015,1.088549,0,1
261,'2023/11/20 23:29:44:450',2,12.641821,1.075085,0,1
262,'2023/11/20 23:29:44:466',2,12.688892,1.076845,0,1
263,'2023/11/20 23:29:44:499',2,12.660645,1.085807,0,1
264,'2023/11/20 23:29:44:533',2,12.658367,1.079342,0,1
265,'2023/11/20 23:29:44:583',2,12.668561,1.105435,0,1
266,'2023/11/20 23:29:44:619',2,12.674407,1.078552,0,1
267,'2023/11/20 23:29:44:649',2,12.661011,1.100977,0,1
268,'2023/11/20 23:29:44:683',2,12.661599,1.077591,0,1
269,'2023/11/20 23:29:44:700',2,12.677112,1.09157,0,1
270,'2023/11/20 23:29:44:734',2,12.678857,1.082738,0,1
271,'2023/11/20 23:29:44:767',2,12.687694,1.100441,0,1
272,'2023/11/20 23:29:44:800',2,12.683236,1.075277,0,1
273,'2023/11/20 23:29:44:836',2,12.718256,1.108042,0,1
274,'2023/11/20 23:29:44:886',2,12.649697,1.087146,0,1
275,'2023/11/20 23:29:44:902',2,12.667587,1.091286,0,1
276,'2023/11/20 23:29:44:933',2,12.680724,1.096089,0,1
277,'2023/11/20 23:29:44:967',2,12.676602,1.090607,0,1
278,'2023/11/20 23:29:45:000',2,12.710029,1.097772,0,1
279,'2023/11/20 23:29:45:033',2,12.702637,1.096435,0,1
280,'2023/11/20 23:29:45:067',2,12.728208,1.09683,0,1
281,'2023/11/20 23:29:45:104',2,12.717366,1.102353,0,1
282,'2023/11/20 23:29:45:135',2,12.672096,1.101388,0,1
283,'2023/11/20 23:29:45:167',2,12.71894,1.096376,0,1
284,'2023/11/20 23:29:45:201',2,12.704906,1.098246,0,1
285,'2023/11/20 23:29:45:235',2,12.704725,1.091604,0,1
286,'2023/11/20 23:29:45:268',2,12.685419,1.089599,0,1
287,'2023/11/20 23:29:45:300',2,12.730594,1.091174,0,1
288,'2023/11/20 23:29:45:334',2,12.739373,1.092261,0,1
289,'2023/11/20 23:29:45:367',2,12.723617,1.099097,0,1
290,'2023/11/20 23:29:45:401',2,12.723111,1.101146,0,1
291,'2023/11/20 23:29:45:435',2,12.706983,1.110032,0,1
292,'2023/11/20 23:29:45:471',2,12.698459,1.100556,0,1
293,'2023/11/20 23:29:45:502',2,12.719595,1.102582,0,1
294,'2023/11/20 23:29:45:533',2,12.686489,1.102795,0,1
295,'2023/11/20 23:29:45:567',2,12.715886,1.099301,0,1
296,'2023/11/20 23:29:45:601',2,12.713217,1.104654,0,1
297,'2023/11/20 23:29:45:633',2,12.713171,1.098651,0,1
298,'2023/11/20 23:29:45:667',2,12.70556,1.088901,0,1
299,'2023/11/20 23:29:45:700',2,12.662435,1.090656,0,1
300,'2023/11/20 23:29:45:719',2,12.658475,1.083591,0,1
301,'2023/11/20 23:29:45:751',2,12.683332,1.083313,0,1
302,'2023/11/20 23:29:45:785',2,12.70577,1.078089,0,1
303,'2023/11/20 23:29:45:834',2,12.709493,1.076488,0,1
304,'2023/11/20 23:29:45:868',2,12.69933,1.07985,0,1
305,'2023/11/20 23:29:45:901',2,12.666524,1.076769,0,1
306,'2023/11/20 23:29:45:917',2,12.694459,1.078395,0,1
307,'2023/11/20 23:29:45:951',2,12.685354,1.074699,0,1
308,'2023/11/20 23:29:46:001',2,12.692682,1.081354,0,1
309,'2023/11/20 23:29:46:034',2,12.689345,1.085461,0,1
310,'2023/11/20 23:29:46:067',2,12.707721,1.087116,0,1
311,'2023/11/20 23:29:46:100',2,12.698621,1.086607,0,1
312,'2023/11/20 23:29:46:133',2,12.696461,1.094227,0,1
313,'2023/11/20 23:29:46:167',2,12.720623,1.099992,0,1
314,'2023/11/20 23:29:46:184',2,12.722447,1.106511,0,1
315,'2023/11/20 23:29:46:217',2,12.700196,1.095014,0,1
316,'2023/11/20 23:29:46:251',2,12.685612,1.096601,0,1
317,'2023/11/20 23:29:46:318',2,12.690426,1.095182,0,1
318,'2023/11/20 23:29:46:352',2,12.685876,1.094277,0,1
319,'2023/11/20 23:29:46:386',2,12.675294,1.087581,0,1
320,'2023/11/20 23:29:46:420',2,12.665041,1.083196,0,1
321,'2023/11/20 23:29:46:452',2,12.642621,1.095796,0,1
322,'2023/11/20 23:29:46:484',2,12.647149,1.079543,0,1
323,'2023/11/20 23:29:46:518',2,12.662843,1.091291,0,1
324,'2023/11/20 23:29:46:551',2,12.703175,1.073206,0,1
325,'2023/11/20 23:29:46:585',2,12.69048,1.081185,0,1
326,'2023/11/20 23:29:46:618',2,12.679366,1.054818,0,1
327,'2023/11/20 23:29:46:651',2,12.65366,1.063239,0,1
